"filename", "language", "XML", "Markdown", "JSON", "JavaScript", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\htu-crm\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 14, 37
"c:\Users\ASUS\Desktop\htu-crm\app\api\activity\route.js", "JavaScript", 0, 0, 0, 49, 0, 0, 7, 15, 71
"c:\Users\ASUS\Desktop\htu-crm\app\api\agent\get-visits\route.js", "JavaScript", 0, 0, 0, 43, 0, 0, 3, 7, 53
"c:\Users\ASUS\Desktop\htu-crm\app\api\analytics\route.js", "JavaScript", 0, 0, 0, 24, 0, 0, 2, 5, 31
"c:\Users\ASUS\Desktop\htu-crm\app\api\applicants\route.js", "JavaScript", 0, 0, 0, 123, 0, 0, 9, 20, 152
"c:\Users\ASUS\Desktop\htu-crm\app\api\chat\route.js", "JavaScript", 0, 0, 0, 187, 0, 0, 5, 15, 207
"c:\Users\ASUS\Desktop\htu-crm\app\api\contacts\route.js", "JavaScript", 0, 0, 0, 42, 0, 0, 3, 10, 55
"c:\Users\ASUS\Desktop\htu-crm\app\api\dashboard\route.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 4, 43
"c:\Users\ASUS\Desktop\htu-crm\app\api\messaging\route.js", "JavaScript", 0, 0, 0, 31, 0, 0, 2, 8, 41
"c:\Users\ASUS\Desktop\htu-crm\app\api\schedule-reminder\route.js", "JavaScript", 0, 0, 0, 50, 0, 0, 7, 15, 72
"c:\Users\ASUS\Desktop\htu-crm\app\api\send-reminder\route.js", "JavaScript", 0, 0, 0, 43, 0, 0, 4, 6, 53
"c:\Users\ASUS\Desktop\htu-crm\app\api\storage\route.js", "JavaScript", 0, 0, 0, 22, 0, 0, 4, 9, 35
"c:\Users\ASUS\Desktop\htu-crm\app\api\submit-student\route.js", "JavaScript", 0, 0, 0, 34, 0, 0, 4, 7, 45
"c:\Users\ASUS\Desktop\htu-crm\app\api\tasks\route.js", "JavaScript", 0, 0, 0, 67, 0, 0, 3, 13, 83
"c:\Users\ASUS\Desktop\htu-crm\app\api\visit-students\route.js", "JavaScript", 0, 0, 0, 49, 0, 0, 3, 10, 62
"c:\Users\ASUS\Desktop\htu-crm\app\api\visits\route.js", "JavaScript", 0, 0, 0, 69, 0, 0, 9, 15, 93
"c:\Users\ASUS\Desktop\htu-crm\app\apply\[visit_id]\page.js", "JavaScript", 0, 0, 0, 144, 0, 0, 1, 21, 166
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\activity\page.js", "JavaScript", 0, 0, 0, 169, 0, 0, 3, 18, 190
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\analytics\page.js", "JavaScript", 0, 0, 0, 262, 0, 0, 9, 39, 310
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\applicants\page.js", "JavaScript", 0, 0, 0, 400, 0, 0, 0, 30, 430
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\archive\page.js", "JavaScript", 0, 0, 0, 170, 0, 0, 2, 16, 188
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\contacts\page.js", "JavaScript", 0, 0, 0, 270, 0, 0, 0, 24, 294
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\layout.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\messaging\page.js", "JavaScript", 0, 0, 0, 344, 0, 0, 0, 28, 372
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\page.js", "JavaScript", 0, 0, 0, 394, 0, 0, 1, 35, 430
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\school-visits\page.js", "JavaScript", 0, 0, 0, 535, 0, 0, 3, 59, 597
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\settings\page.js", "JavaScript", 0, 0, 0, 129, 0, 0, 2, 12, 143
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\tasks\page.js", "JavaScript", 0, 0, 0, 292, 0, 0, 4, 30, 326
"c:\Users\ASUS\Desktop\htu-crm\app\dashboard\visit-students\page.js", "JavaScript", 0, 0, 0, 282, 0, 0, 0, 30, 312
"c:\Users\ASUS\Desktop\htu-crm\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 437, 19, 83, 539
"c:\Users\ASUS\Desktop\htu-crm\app\layout.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\ASUS\Desktop\htu-crm\app\login\page.js", "JavaScript", 0, 0, 0, 383, 0, 0, 0, 25, 408
"c:\Users\ASUS\Desktop\htu-crm\app\page.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\ASUS\Desktop\htu-crm\components\DaliaBot.js", "JavaScript", 0, 0, 0, 150, 0, 0, 5, 17, 172
"c:\Users\ASUS\Desktop\htu-crm\components\Sidebar.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 11, 77
"c:\Users\ASUS\Desktop\htu-crm\eslint.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 2, 3, 17
"c:\Users\ASUS\Desktop\htu-crm\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\ASUS\Desktop\htu-crm\lib\auth-guard.js", "JavaScript", 0, 0, 0, 33, 0, 0, 4, 6, 43
"c:\Users\ASUS\Desktop\htu-crm\lib\logger.js", "JavaScript", 0, 0, 0, 14, 0, 0, 4, 2, 20
"c:\Users\ASUS\Desktop\htu-crm\lib\supabase-server.js", "JavaScript", 0, 0, 0, 16, 0, 0, 5, 4, 25
"c:\Users\ASUS\Desktop\htu-crm\lib\supabase.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\ASUS\Desktop\htu-crm\middleware.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\ASUS\Desktop\htu-crm\next.config.mjs", "JavaScript", 0, 0, 0, 3, 0, 0, 2, 2, 7
"c:\Users\ASUS\Desktop\htu-crm\package-lock.json", "JSON", 0, 0, 7793, 0, 0, 0, 0, 1, 7794
"c:\Users\ASUS\Desktop\htu-crm\package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\ASUS\Desktop\htu-crm\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\ASUS\Desktop\htu-crm\public\file.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ASUS\Desktop\htu-crm\public\globe.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ASUS\Desktop\htu-crm\public\next.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ASUS\Desktop\htu-crm\public\vercel.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ASUS\Desktop\htu-crm\public\window.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 5, 23, 7829, 5022, 7, 437, 131, 687, 14141